left,top,width,height,lines_combine,detected_as,group
237,933,388,1381,"CSSSV and CSD were operationally ready in March 2019 in, advance of 31 December 2020 and subsequent efforts were, focused on completing client migrations.",text,1
2394,933,403,3461,"Furthermore, from an early stage, CSi implemented responsive, contingency measures for its own operations globally to help pro-, tect against the spread of COVID-19, while providing continuity of, service. CSi deployed its robust business continuity management, capabilities and took what it believed to be the necessary actions, to safeguard operations while ensuring the safety of its teams.",title,2
2393,1531,429,4345,"In addition, CSi established and continues to support numerous, measures for its employees to help overcome the challenges of, the pandemic, including working from home measures or split, working arrangements as well as paid family leave in all markets, in which schools are closed for colleagues who are unable to, work from home while also looking after their children or other, family members. Also, no employees were furloughed under, the Government’s Coronavirus Job Retention Scheme (‘CJRS’).",text,2
2393,2329,388,565,"To contribute to the communities in which CS group operates,",text,2
2395,2429,433,910,"CS group set up a bank-wide donor-advised matching program,, launched to encourage employee donations to charities.",text,2
237,1333,321,2656,"EEA clients in a permissive regime, have the option to continue, trading with CS group UK entities. For EEA clients not in a per-, missive regime, any new trading activities need to be conducted, from the CS group EU entities. At the end of the transition period",title,3
237,1730,321,2032,"(31 December 2020), whilst the majority of in-scope EEA clients, migrated to the EU entities (e.g. those not in permissive regimes),, they have largely not opted to novate their existing positions to the",text,3
238,2032,286,1826,"EU entities. Novation requests are expected to increase through-, out 2021. Existing EEA client positions that have not been, novated will remain in the CS UK entities until they cease to exist",text,3
239,2329,356,662,(e.g. until maturity or terminated by the client). In accordance with,text,3
237,2429,397,1196,"IFRS 5, these changes qualified as Held for sale (‘HFS’) there-, fore associated profit and loss being reported as Discontinued",text,3
238,2628,336,144,Operations (‘DO’).,text,3
240,2741,316,584,"> For further details, refer to Note 31 —- Discontinued Operations and Assets and",text,3
334,2816,225,176,Liabilities Held for Sale.,text,3
2396,2718,324,130,Going concern,text,4
2393,2929,345,597,The Board has made an assessment of the ability of the,title,5
2395,3029,261,744,CSi group to continue as a going concern for a period of at least,text,5
2395,3128,358,2650,"12 months from the date of this report. Based on this assess-, ment, the Board is satistied that the CSi group has adequate, resources to continue in operation for this period, and it therefore, continues to adopt the going concern basis in preparing the finan-, cial statements.",text,5
241,3092,757,210,Operating Environment,text,6
237,3328,503,2202,"CSi is impacted by a range of political, macroeconomic, regula-, tory and accounting developments. The operating environment, continues to evolve rapidly resulting in the need for CSi to con-, tinue evaluating, assessing and adapting its strateqy.",text,7
2395,3728,350,2174,"In considering going concern, the directors have reviewed the, capital, liquidity and financial position of CSi including future, capital, liquidity and financial plans to the end of 2022, including, under a series of systematic stress scenarios.",text,8
239,3816,395,266,COVID-19 impact on CSi,text,9
237,4026,466,6083,"CSi witnessed a highly challenging environment severely impacted, by COVID-19 pandemic. The rapid spread of COVID-19 across, the world in early 2020 led to the introduction of tight government, controls and travel bans, as well as the implementation of other, measures, which quickly closed down activity and increased eco-, nomic disruption globally. World markets were severely negatively, impacted, with multiple industries, including energy, industrials,, retail and leisure, significantly affected. However, major central, banks and governments around the world have responded by, implementing unprecedented monetary and fiscal policy stimulus, measures. CSi is closely monitoring the impact of COVID-19 on, operations and business.",text,10
2393,4227,426,1068,"The directors have also considered the market developments, during the year caused by COVID-19 and subsequent events in",title,11
2394,4425,425,1877,"2021 including in March 2021, when a US-based hedge fund, failed to meet its margin commitments to CSi, and as a result CSi, has recorded losses of approximately USD 5,269 million in 2021.",text,11
2395,4824,404,2518,"Following these losses, management executed a number of, actions to support CSi’s capital position and CSi has capital and, liquidity surpluses to all regulatory and internal limits and is fore-, cast to maintain its capital surplus through to the end of 2022.",text,12
2395,5322,307,2043,"Credit Suisse AG (‘CS AG’) has shown intent to support CSi, both for capital and liquidity over the next 18 months and CS AG, supported CSi by providing extra liquidity in 2021 during the",title,13
2397,5623,309,245,US-based hedge fund default.,text,13
236,5323,392,3596,"CSi delivered a resilient performance in 2020. The performance, section details the profitability during 2020, driven by market, volatility and increase in client driven transactions. CSi realised, losses from three counterparty defaults in the first half of the year, totalling USD 156 million from derivative transactions in the first, half of the year. In addition, refer to Note 8 — Allowance for Credit",title,14
238,5922,356,1104,"Losses which showed an increase of USD 13 million on CSi’s, accrual based instruments and Note 34 — Expected Credit Loss",text,14
237,6121,437,1636,"Measurement. CSi's total balance sheet increased primarily due, to its large derivative portfolio, which was caused by market pric-, ing movements, coupled with an increase in cash collateral.",text,14
2395,5822,331,1690,"CSi has reviewed its financial forecasts and following the signif-, icant credit loss incurred in March and April 2021, CSi is due to, return to profitability from 2022 onwards.",text,15
2395,6221,326,1208,"CSi did not utilise any financial assistance offered by the UK gov-, ernment, in order to cope with the COVID-19 pandemic.",text,16
246,6739,335,481,12 Strategic Report Credit Suisse International at a glance,text,17
