left,top,width,height,lines_combine,detected_as,group
240,897,516,118,Strategy,text,1
2394,932,518,4020,"over-the-counter (‘OTC’) derivative products and offers its clients, a range of interest rate, currency, equity and credit-related prod-, ucts. CSi’s business focuses on transactions that address the, broad financing, risk management and investment requirements, of its worldwide client base. CSi enters into derivative contracts in, the normal course of business for market-making, as well as for, risk management needs, including mitigation of interest rate, for-, eign currency and credit risk.",text,2
239,1122,502,282,Credit Suisse International strategy,text,3
237,1333,464,4502,"CSi's strategy is to provide a comprehensive range of invest-, ment banking services and to build on its strengths as a global, hub for CS group’s derivative products and as a registered swap, dealer for Dodd-Frank clients, to support securities and non-se-, curities sales, trading, risk management and settlement services, for Investment Banking clients. The strategy encompasses the, provision of solutions for other divisions, and businesses, includ-, ing wealth management clients; and the provision of Merger and",title,4
236,2130,377,921,"Acquisitions (‘M&A’) and underwriting and arrangement services,, and bilateral or syndicated loans, for corporate clients.",text,4
2395,1831,376,2677,"For corporate clients, CSi provides a wide spectrum of banking, products such as traditional and structured lending and invest-, ment solutions. In addition, CSi applies its investment banking, capabilities to provide customised services in the areas of M&A,, equity and debt syndications and structured finance.",text,5
237,2430,642,4080,"CSi believes that it is well-positioned for the post COVID-19, market environment, and will benefit from the expected recovery, in M&A and asset finance and increased capital markets activity, driven by leveraged finance. CSi intends to continue to strengthen, the connectivity to the CS group Wealth Management-related, businesses, particularly through GTS, delivering institutional-style, solutions to Wealth Management clients and the newly estab-, lished mid-market advisory team in IWM.",text,6
2395,2430,579,1809,"CSi also provides institutional-style solutions to wealth manage-, ment clients as part of GTS and SRI. It delivers industry-leading, sustainable insights and solutions across wealth management and, corporate and institutional clients.",text,7
2396,2918,340,409,Growth driven by one principal division,text,8
2397,3128,369,1874,"Following the structural changes at the CSG level, CSi conducts, business in one principal division, the Investment Bank, primar-, ily made up of a combination of the pre-existing GM and IBCM, businesses.",text,9
237,3328,339,1479,"CSi is focused on disciplined investment in people, capital and, technology in the market leading businesses across equities, fixed, income and capital markets and advisory.",text,10
2393,3627,418,2838,"The structural changes announced by CSG are intended to, improve effectiveness, drive efficiencies and capture future, growth opportunities. These strategic actions make CSG and CSi, well positioned to grow revenues and deliver sustainable returns, whilst maintaining cost and capital discipline. It will also enable, investment in growth areas.",text,11
238,3726,342,1103,"Following the UK’s withdrawal from the European Union (‘EU’),, subject to certain exceptions, CSi completed the transfer of",title,12
240,3926,397,567,EU clients and EU venue-facing businesses to entities in the,text,12
240,4026,379,555,EU. Management aims to transfer all core businesses out of,text,12
238,4125,354,2345,"Credit Suisse Securities (Europe) Limited (CSS(E)L) to CSi, during 2021, which will simplify the UK business model, improve, resolvability and optimise financial resources resulting in a consol-, idation of activities across the core UK Investment Banking legal, entities into CSi.",text,12
2398,4327,381,112,Investment Bank,title,13
2397,4426,278,112,Business Profile,text,13
2393,4525,356,3746,"CSi IB provides a broad range of financial products and ser-, vices focused on client driven businesses. Products and services, include global securities sales, trading and execution, capital rais-, ing and advisory. The business model enables CSi to deliver high, value, customised solutions that leverage the expertise offered, across CS group helping clients unlock capital and value in order, to achieve their strategic goals.",text,13
237,4724,450,5859,"CSi is part of CS group’s commitment to integrating sustainability, across businesses and operations and the creation of SRI. The, aim is to provide a single “House View” with a focus on super-, trends and sustainability. CS group is also committed to driving, their own transition, including the commitment to achieve net zero, emissions from operations, supply chain and financing activi-, ties no later than 2050. The ambition is to provide sustainable, investment solutions at the core of the offering to wealth man-, agement clients. CS group is extending the breadth and depth of, the offering by integrating Environmental, Social and Governance",title,14
239,5721,332,489,(‘ESG’) into the investment processes through the proprietary,text,14
238,5822,408,245,Credit Suisse Sustainability Framework.,text,14
2393,5323,339,576,The principle businesses within CSi IB are Cash Equities and,title,15
2398,5423,274,504,"Prime, Credit, GTS and Capital Markets and Advisory.",text,15
2395,5623,276,236,Cash Equities and Prime,title,16
2394,5722,463,4992,"Cash Equities provides a comprehensive suite of offerings, includ-, ing: (i) sales trading, responsible for managing the order flow, between clients and the marketplace and providing clients with, trading ideas and capital commitments, identifying trends and, delivering the most effective trade execution, (ii) high touch and, program trading, exchange traded funds (‘ETFs’) and advanced, execution services (‘AES’) platform, which executes client orders, and makes markets in listed and OTC cash securities, ETFs and, programs, providing liquidity to the market through both capital",text,16
239,6011,280,69,Clients,text,17
236,6222,382,2288,"CSi aims to provide its corporate, institutional and IWM clients, with a broad range of financial solutions. To meet clients’ evolv-, ing needs, CSi serves its clients through an integrated franchise, and international presence. CSi is a global market leader in",text,18
246,6739,335,482,10 Strategic Report Credit Suisse International at a glance,text,19
